nodeNum,nodeName,nodeType,nodePFAType,status,busArea,pInject,qInject,lossZone,baseKV,voltageMag,voltageAng,maxV,minV,gpsX,gpsY,storageSNum,storageSType,maxP,minP,maxQ,minQ,rNode,xNode,locCtrlStatus,locCtrlType
71,eStation71,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,0,0,40,StaticStorage,0,0,0,0,0,0,0,TG1
72,eStation72,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,0,1,41,StaticStorage,0,0,0,0,0,0,0,TG1
74,eStation74,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,3,0,42,StaticStorage,0,0,0,0,0,0,0,TG1
75,eStation75,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,1,0,43,StaticStorage,0,0,0,0,0,0,0,TG1
76,eStation76,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,0,2,44,StaticStorage,0,0,0,0,0,0,0,TG1
80,eStation80,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,2,0,45,StaticStorage,0,0,0,0,0,0,0,TG1
81,eRoad81,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,1.5,2,46,StaticStorage,0,0,0,0,0,0,0,TG1
82,eRoad82,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,2,2.5,47,StaticStorage,0,0,0,0,0,0,0,TG1
83,eRoad83,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,8.5,8,48,StaticStorage,0,0,0,0,0,0,0,TG1
86,eStation86,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,1,1,38,StaticStorage,0,0,0,0,0,0,0,TG1
87,eStation87,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,0,9,49,StaticStorage,0,0,0,0,0,0,0,TG1
88,eStation88,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,0,8,50,StaticStorage,0,0,0,0,0,0,0,TG1
89,eRoad89,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,2,1.5,51,StaticStorage,0,0,0,0,0,0,0,TG1
91,eStation91,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,5,12,52,StaticStorage,0,0,0,0,0,0,0,TG1
93,eStation93,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,9,12,53,StaticStorage,0,0,0,0,0,0,0,TG1
95,eStation95,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,8,8,54,StaticStorage,0,0,0,0,0,0,0,TG1
98,eRoad98,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,7.5,4,55,StaticStorage,0,0,0,0,0,0,0,TG1
100,eRoad100,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,8,7.5,56,StaticStorage,0,0,0,0,0,0,0,TG1
101,eRoad101,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,8,4.5,57,StaticStorage,0,0,0,0,0,0,0,TG1
111,eRoad111,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,7.5,8,58,StaticStorage,0,0,0,0,0,0,0,TG1
116,eRoad116,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,8,8.5,59,StaticStorage,0,0,0,0,0,0,0,TG1
117,eRoad117,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,10,9.5,60,StaticStorage,0,0,0,0,0,0,0,TG1
118,eStation118,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,10,12,61,StaticStorage,0,0,0,0,0,0,0,TG1
119,eStation119,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,8,12,62,StaticStorage,0,0,0,0,0,0,0,TG1
120,eRoad120,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,10,10.5,63,StaticStorage,0,0,0,0,0,0,0,TG1
121,eRoad121,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,9.5,10,64,StaticStorage,0,0,0,0,0,0,0,TG1
122,eStation122,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,7,12,65,StaticStorage,0,0,0,0,0,0,0,TG1
123,eStation123,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,12,11,66,StaticStorage,0,0,0,0,0,0,0,TG1
124,eStation124,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,12,8,67,StaticStorage,0,0,0,0,0,0,0,TG1
125,eRoad125,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,10.5,10,68,StaticStorage,0,0,0,0,0,0,0,TG1
126,eStation126,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,12,10,69,StaticStorage,0,0,0,0,0,0,0,TG1
127,eStation127,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,12,9,70,StaticStorage,0,0,0,0,0,0,0,TG1
129,eRoad129,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,4.5,4,71,StaticStorage,0,0,0,0,0,0,0,TG1
136,eStation136,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,4,4,72,StaticStorage,0,0,0,0,0,0,0,TG1
139,eStation139,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,4,0,73,StaticStorage,0,0,0,0,0,0,0,TG1
140,eRoad140,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,4,4.5,74,StaticStorage,0,0,0,0,0,0,0,TG1
142,eRoad142,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,2.5,2,75,StaticStorage,0,0,0,0,0,0,0,TG1
143,eRoad143,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,4,3.5,76,StaticStorage,0,0,0,0,0,0,0,TG1
144,eRoad144,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,9.5,6,77,StaticStorage,0,0,0,0,0,0,0,TG1
145,eRoad145,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,10,6.5,78,StaticStorage,0,0,0,0,0,0,0,TG1
148,eStation148,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,5,0,79,StaticStorage,0,0,0,0,0,0,0,TG1
151,eRoad151,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,2.5,6,80,StaticStorage,0,0,0,0,0,0,0,TG1
154,eRoad154,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,2,5.5,81,StaticStorage,0,0,0,0,0,0,0,TG1
155,eRoad155,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,3.5,4,82,StaticStorage,0,0,0,0,0,0,0,TG1
157,eStation157,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,12,12,83,StaticStorage,0,0,0,0,0,0,0,TG1
160,eRoad160,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,6,9.5,84,StaticStorage,0,0,0,0,0,0,0,TG1
161,eRoad161,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,6,2.5,85,StaticStorage,0,0,0,0,0,0,0,TG1
163,eRoad163,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,5.5,10,86,StaticStorage,0,0,0,0,0,0,0,TG1
165,eRoad165,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,6.5,2,87,StaticStorage,0,0,0,0,0,0,0,TG1
166,eStation166,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,6,6,88,StaticStorage,0,0,0,0,0,0,0,TG1
167,eRoad167,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,4,8.5,89,StaticStorage,0,0,0,0,0,0,0,TG1
168,eRoad168,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,5.5,2,90,StaticStorage,0,0,0,0,0,0,0,TG1
169,eRoad169,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,6,1.5,91,StaticStorage,0,0,0,0,0,0,0,TG1
173,eStation173,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,6,0,92,StaticStorage,0,0,0,0,0,0,0,TG1
174,eRoad174,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,5.5,6,93,StaticStorage,0,0,0,0,0,0,0,TG1
176,eRoad176,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,2,6.5,94,StaticStorage,0,0,0,0,0,0,0,TG1
180,eRoad180,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,6,5.5,95,StaticStorage,0,0,0,0,0,0,0,TG1
181,eRoad181,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,6.5,6,96,StaticStorage,0,0,0,0,0,0,0,TG1
186,eRoad186,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,6,6.5,97,StaticStorage,0,0,0,0,0,0,0,TG1
188,eRoad188,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,6,10.5,98,StaticStorage,0,0,0,0,0,0,0,TG1
189,eRoad189,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,6.5,10,99,StaticStorage,0,0,0,0,0,0,0,TG1
190,eRoad190,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,4,7.5,100,StaticStorage,0,0,0,0,0,0,0,TG1
191,eStation191,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,4,8,101,StaticStorage,0,0,0,0,0,0,0,TG1
194,eRoad194,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,1.5,6,102,StaticStorage,0,0,0,0,0,0,0,TG1
196,eRoad196,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,4.5,8,103,StaticStorage,0,0,0,0,0,0,0,TG1
199,eStation199,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,11,12,104,StaticStorage,0,0,0,0,0,0,0,TG1
