branchNum,fBus,tBus,rBranch,xBranch,bBranch,rateA,rateB,rateC,tap,ang,status,angMin,angMax,pf,qf,pt,qt
58,45,49,0.00001542,0.00000522,0,0,0,0,1,0,1,0,0,0,0,0,0
59,38,29,0.00004932,0.00001668,0,0,0,0,1,0,1,0,0,0,0,0,0
60,48,38,0.00003702,0.00001254,0,0,0,0,1,0,1,0,0,0,0,0,0
61,52,21,0.00001698,0.00000576,0,0,0,0,1,0,1,0,0,0,0,0,0
62,29,25,0.00002316,0.00000786,0,0,0,0,1,0,1,0,0,0,0,0,0
63,25,52,0.00004242,0.00001434,0,0,0,0,1,0,1,0,0,0,0,0,0
64,21,32,0.00001848,0.00000624,0,0,0,0,1,0,1,0,0,0,0,0,0
65,20,56,0.00009096,0.00003078,0,0,0,0,1,0,1,0,0,0,0,0,0
66,71,73,0.00000924,0.00000312,0,0,0,0,1,0,1,0,0,0,0,0,0
67,75,71,0.00002316,0.00000786,0,0,0,0,1,0,1,0,0,0,0,0,0
68,74,80,0.00003546,0.00001200,0,0,0,0,1,0,1,0,0,0,0,0,0
69,80,75,0.00002238,0.00000756,0,0,0,0,1,0,1,0,0,0,0,0,0
70,71,72,0.00004164,0.00001410,0,0,0,0,1,0,1,0,0,0,0,0,0
71,72,79,0.00003084,0.00001044,0,0,0,0,1,0,1,0,0,0,0,0,0
72,72,76,0.00003240,0.00001098,0,0,0,0,1,0,1,0,0,0,0,0,0
73,76,77,0.00002160,0.00000732,0,0,0,0,1,0,1,0,0,0,0,0,0
74,78,82,0.00010176,0.00003444,0,0,0,0,1,0,1,0,0,0,0,0,0
75,81,79,0.00003084,0.00001044,0,0,0,0,1,0,1,0,0,0,0,0,0
76,77,78,0.00000924,0.00000312,0,0,0,0,1,0,1,0,0,0,0,0,0
77,82,89,0.00005106,0.00001728,0,0,0,0,1,0,1,0,0,0,0,0,0
78,76,58,0.00016344,0.00005532,0,0,0,0,1,0,1,0,0,0,0,0,0
79,113,114,0.00002004,0.00000678,0,0,0,0,1,0,1,0,0,0,0,0,0
80,114,111,0.00001698,0.00000576,0,0,0,0,1,0,1,0,0,0,0,0,0
81,93,112,0.00001386,0.00000468,0,0,0,0,1,0,1,0,0,0,0,0,0
82,105,94,0.00003546,0.00001200,0,0,0,0,1,0,1,0,0,0,0,0,0
83,94,111,0.00001386,0.00000468,0,0,0,0,1,0,1,0,0,0,0,0,0
84,93,110,0.00002778,0.00000942,0,0,0,0,1,0,1,0,0,0,0,0,0
85,110,105,0.00002778,0.00000942,0,0,0,0,1,0,1,0,0,0,0,0,0
86,109,83,0.00001848,0.00000624,0,0,0,0,1,0,1,0,0,0,0,0,0
87,106,102,0.00002316,0.00000786,0,0,0,0,1,0,1,0,0,0,0,0,0
88,83,106,0.00002778,0.00000942,0,0,0,0,1,0,1,0,0,0,0,0,0
89,96,115,0.00001848,0.00000624,0,0,0,0,1,0,1,0,0,0,0,0,0
90,100,95,0.00004470,0.00001512,0,0,0,0,1,0,1,0,0,0,0,0,0
91,99,100,0.00002466,0.00000834,0,0,0,0,1,0,1,0,0,0,0,0,0
92,101,99,0.00002316,0.00007860,0,0,0,0,1,0,1,0,0,0,0,0,0
93,98,101,0.00002160,0.00000732,0,0,0,0,1,0,1,0,0,0,0,0,0
94,95,116,0.00003318,0.00001122,0,0,0,0,1,0,1,0,0,0,0,0,0
95,116,96,0.00001698,0.00000576,0,0,0,0,1,0,1,0,0,0,0,0,0
96,97,93,0.00001698,0.00000576,0,0,0,0,1,0,1,0,0,0,0,0,0
97,115,97,0.00002622,0.00000888,0,0,0,0,1,0,1,0,0,0,0,0,0
98,146,141,0.00004470,0.00001512,0,0,0,0,1,0,1,0,0,0,0,0,0
99,141,135,0.00003390,0.00001146,0,0,0,0,1,0,1,0,0,0,0,0,0
100,131,152,0.00003702,0.00001254,0,0,0,0,1,0,1,0,0,0,0,0,0
101,135,131,0.00006324,0.00002142,0,0,0,0,1,0,1,0,0,0,0,0,0
102,56,148,0.00002928,0.00000990,0,0,0,0,1,0,1,0,0,0,0,0,0
103,56,124,0.00003858,0.00001308,0,0,0,0,1,0,1,0,0,0,0,0,0
104,126,123,0.00001236,0.00000420,0,0,0,0,1,0,1,0,0,0,0,0,0
105,127,126,0.00011412,0.00003864,0,0,0,0,1,0,1,0,0,0,0,0,0
106,124,127,0.00000924,0.00000312,0,0,0,0,1,0,1,0,0,0,0,0,0
107,199,118,0.00003240,0.00010980,0,0,0,0,1,0,1,0,0,0,0,0,0
108,199,200,0.00000306,0.00000102,0,0,0,0,1,0,1,0,0,0,0,0,0
109,157,199,0.00000924,0.00000312,0,0,0,0,1,0,1,0,0,0,0,0,0
110,123,157,0.00004320,0.00001464,0,0,0,0,1,0,1,0,0,0,0,0,0
111,198,191,0.00000618,0.00000210,0,0,0,0,1,0,1,0,0,0,0,0,0
112,198,196,0.00002928,0.00000990,0,0,0,0,1,0,1,0,0,0,0,0,0
113,158,198,0.00011412,0.00003864,0,0,0,0,1,0,1,0,0,0,0,0,0
114,196,190,0.00000462,0.00000156,0,0,0,0,1,0,1,0,0,0,0,0,0
115,158,160,0.00035460,0.00001200,0,0,0,0,1,0,1,0,0,0,0,0,0
116,160,171,0.00003702,0.00001254,0,0,0,0,1,0,1,0,0,0,0,0,0
117,171,187,0.00003858,0.00013080,0,0,0,0,1,0,1,0,0,0,0,0,0
118,187,167,0.00003858,0.00001308,0,0,0,0,1,0,1,0,0,0,0,0,0
119,175,178,0.00002778,0.00000942,0,0,0,0,1,0,1,0,0,0,0,0,0
120,160,184,0.00005550,0.00001878,0,0,0,0,1,0,1,0,0,0,0,0,0
121,184,163,0.00003858,0.00001308,0,0,0,0,1,0,1,0,0,0,0,0,0
122,163,164,0.00001386,0.00000468,0,0,0,0,1,0,1,0,0,0,0,0,0
123,172,178,0.00004782,0.00001620,0,0,0,0,1,0,1,0,0,0,0,0,0
124,178,159,0.00002928,0.00000990,0,0,0,0,1,0,1,0,0,0,0,0,0
125,158,181,0.00004320,0.00001464,0,0,0,0,1,0,1,0,0,0,0,0,0
126,181,185,0.00003858,0.00001308,0,0,0,0,1,0,1,0,0,0,0,0,0
127,185,165,0.00002466,0.00000834,0,0,0,0,1,0,1,0,0,0,0,0,0
128,165,169,0.00002466,0.00000834,0,0,0,0,1,0,1,0,0,0,0,0,0
129,169,173,0.00001542,0.00000522,0,0,0,0,1,0,1,0,0,0,0,0,0
130,159,179,0.00001848,0.00000624,0,0,0,0,1,0,1,0,0,0,0,0,0
131,179,176,0.00002316,0.00000786,0,0,0,0,1,0,1,0,0,0,0,0,0
132,168,161,0.00003240,0.00001098,0,0,0,0,1,0,1,0,0,0,0,0,0
133,161,182,0.00003546,0.12000000,0,0,0,0,1,0,1,0,0,0,0,0,0
134,182,181,0.00001386,0.00000468,0,0,0,0,1,0,1,0,0,0,0,0,0
135,180,177,0.00002466,0.00000834,0,0,0,0,1,0,1,0,0,0,0,0,0
136,130,156,0.00001542,0.00000522,0,0,0,0,1,0,1,0,0,0,0,0,0
137,129,130,0.00002316,0.00000786,0,0,0,0,1,0,1,0,0,0,0,0,0
138,156,132,0.00004782,0.00001620,0,0,0,0,1,0,1,0,0,0,0,0,0
139,132,139,0.00004470,0.00001512,0,0,0,0,1,0,1,0,0,0,0,0,0
140,136,143,0.00004008,0.00001356,0,0,0,0,1,0,1,0,0,0,0,0,0
141,143,147,0.00004008,0.00001356,0,0,0,0,1,0,1,0,0,0,0,0,0
142,155,136,0.00003546,0.00001200,0,0,0,0,1,0,1,0,0,0,0,0,0
143,149,147,0.00009240,0.00000312,0,0,0,0,1,0,1,0,0,0,0,0,0
144,138,142,0.00026220,0.00000887,0,0,0,0,1,0,1,0,0,0,0,0,0
145,128,150,0.00001386,0.00000468,0,0,0,0,1,0,1,0,0,0,0,0,0
146,144,145,0.00013860,0.00000468,0,0,0,0,1,0,1,0,0,0,0,0,0
147,145,148,0.00023160,0.00000786,0,0,0,0,1,0,1,0,0,0,0,0,0
148,151,134,0.00003240,0.00001098,0,0,0,0,1,0,1,0,0,0,0,0,0
149,134,194,0.00000384,0.00000132,0,0,0,0,1,0,1,0,0,0,0,0,0
150,150,151,0.00002316,0.00000786,0,0,0,0,1,0,1,0,0,0,0,0,0
151,189,188,0.00003084,0.00001044,0,0,0,0,1,0,1,0,0,0,0,0,0
152,188,197,0.00004626,0.00001566,0,0,0,0,1,0,1,0,0,0,0,0,0
153,197,195,0.00001542,0.00000522,0,0,0,0,1,0,1,0,0,0,0,0,0
154,188,192,0.00000984,0.00000336,0,0,0,0,1,0,1,0,0,0,0,0,0
155,137,154,0.00004470,0.00001512,0,0,0,0,1,0,1,0,0,0,0,0,0
156,137,193,0.00000540,0.00000180,0,0,0,0,1,0,1,0,0,0,0,0,0
157,154,150,0.00002928,0.00000990,0,0,0,0,1,0,1,0,0,0,0,0,0
158,125,123,0.00001236,0.00000420,0,0,0,0,1,0,1,0,0,0,0,0,0
159,117,83,0.00000672,0.00000630,0,0,0,0,1,0,1,0,0,0,0,0,0
160,201,91,0.00006510,0.00006066,0,0,0,0,1,0,1,0,0,0,0,0,0
161,91,1,0.00005712,0.00005316,0,0,0,0,1,0,1,0,0,0,0,0,0
162,91,86,0.00000270,0.00000252,0,0,0,0,1,0,1,0,0,0,0,0,0
163,1,12,0.00000672,0.00000630,0,0,0,0,1,0,1,0,0,0,0,0,0
164,3,11,0.00001410,0.00001314,0,0,0,0,1,0,1,0,0,0,0,0,0
165,11,14,0.00002202,0.00002052,0,0,0,0,1,0,1,0,0,0,0,0,0
166,14,10,0.00002784,0.00002592,0,0,0,0,1,0,1,0,0,0,0,0,0
167,12,3,0.00000948,0.00000882,0,0,0,0,1,0,1,0,0,0,0,0,0
168,10,85,0.00000732,0.00000684,0,0,0,0,1,0,1,0,0,0,0,0,0
169,10,9,0.00000978,0.00000912,0,0,0,0,1,0,1,0,0,0,0,0,0
170,9,87,0.00002298,0.00002136,0,0,0,0,1,0,1,0,0,0,0,0,0
171,83,32,0.00000702,0.00000654,0,0,0,0,1,0,1,0,0,0,0,0,0
172,201,122,0.00000216,0.00000024,0,0,0,0,1,0,1,0,0,0,0,0,0
173,119,93,0.00003294,0.00000324,0,0,0,0,1,0,1,0,0,0,0,0,0
174,122,119,0.00003828,0.00000378,0,0,0,0,1,0,1,0,0,0,0,0,0
175,118,120,0.00000216,0.00000198,0,0,0,0,1,0,1,0,0,0,0,0,0
176,93,118,0.00001776,0.00001656,0,0,0,0,1,0,1,0,0,0,0,0,0
177,118,121,0.00000858,0.00000798,0,0,0,0,1,0,1,0,0,0,0,0,0
178,121,117,0.00003366,0.00003138,0,0,0,0,1,0,1,0,0,0,0,0,0
179,103,104,0.00001038,0.00000972,0,0,0,0,1,0,1,0,0,0,0,0,0
180,83,103,0.00001224,0.00001140,0,0,0,0,1,0,1,0,0,0,0,0,0
181,108,107,0.00001038,0.00000972,0,0,0,0,1,0,1,0,0,0,0,0,0
182,83,108,0.00000798,0.00000744,0,0,0,0,1,0,1,0,0,0,0,0,0
183,140,152,0.00001530,0.00001428,0,0,0,0,1,0,1,0,0,0,0,0,0
184,189,158,0.00003060,0.00000300,0,0,0,0,1,0,1,0,0,0,0,0,0
185,158,183,0.00003792,0.00003534,0,0,0,0,1,0,1,0,0,0,0,0,0
186,183,186,0.00000732,0.00000684,0,0,0,0,1,0,1,0,0,0,0,0,0
187,186,166,0.00001776,0.00001656,0,0,0,0,1,0,1,0,0,0,0,0,0
188,166,174,0.00001896,0.00001770,0,0,0,0,1,0,1,0,0,0,0,0,0
189,174,180,0.00001776,0.00001656,0,0,0,0,1,0,1,0,0,0,0,0,0
190,180,159,0.00001530,0.00001428,0,0,0,0,1,0,1,0,0,0,0,0,0
191,162,170,0.00001344,0.00001254,0,0,0,0,1,0,1,0,0,0,0,0,0
192,183,162,0.00001590,0.00001482,0,0,0,0,1,0,1,0,0,0,0,0,0
193,159,128,0.00004776,0.00004446,0,0,0,0,1,0,1,0,0,0,0,0,0
194,128,140,0.00000672,0.00000630,0,0,0,0,1,0,1,0,0,0,0,0,0
195,140,129,0.00000978,0.00000912,0,0,0,0,1,0,1,0,0,0,0,0,0
196,128,153,0.00000732,0.00000684,0,0,0,0,1,0,1,0,0,0,0,0,0
197,153,155,0.00000672,0.00000630,0,0,0,0,1,0,1,0,0,0,0,0,0
198,133,138,0.00002508,0.00002340,0,0,0,0,1,0,1,0,0,0,0,0,0
199,153,133,0.00001650,0.00001542,0,0,0,0,1,0,1,0,0,0,0,0,0
200,201,189,0.00001836,0.00000180,0,0,0,0,1,0,1,0,0,0,0,0,0
