pLinkCharge,vehicleECap,linkNum,linkName,linkType,origin,dest,vehicleCCap,freeSpeed,distance
48,25,286,Link 286,LinkE,140,141,5000,1,1
48,25,287,Link 287,LinkE,141,142,5000,1,1
48,25,338,Link 338,LinkE,29,16,5000,1,1
48,25,339,Link 339,LinkE,42,29,5000,1,1
48,25,342,Link 342,LinkE,81,68,5000,1,1
48,25,343,Link 343,LinkE,94,81,5000,1,1
48,25,346,Link 346,LinkE,133,120,5000,1,1
48,25,347,Link 347,LinkE,146,133,5000,1,1
48,25,364,Link 364,LinkE,57,44,5000,1,1
48,25,365,Link 365,LinkE,70,57,5000,1,1
48,25,368,Link 368,LinkE,109,96,5000,1,1
48,25,369,Link 369,LinkE,122,109,5000,1,1
48,25,386,Link 386,LinkE,33,20,5000,1,1
48,25,387,Link 387,LinkE,46,33,5000,1,1
48,25,390,Link 390,LinkE,85,72,5000,1,1
48,25,391,Link 391,LinkE,98,85,5000,1,1
48,25,394,Link 394,LinkE,137,124,5000,1,1
48,25,395,Link 395,LinkE,150,137,5000,1,1
48,25,412,Link 412,LinkE,61,48,5000,1,1
48,25,413,Link 413,LinkE,74,61,5000,1,1
48,25,416,Link 416,LinkE,113,100,5000,1,1
48,25,417,Link 417,LinkE,126,113,5000,1,1
48,25,434,Link 434,LinkE,37,24,5000,1,1
48,25,435,Link 435,LinkE,50,37,5000,1,1
48,25,438,Link 438,LinkE,89,76,5000,1,1
48,25,439,Link 439,LinkE,102,89,5000,1,1
48,25,442,Link 442,LinkE,141,128,5000,1,1
48,25,443,Link 443,LinkE,154,141,5000,1,1
48,25,494,Link 494,LinkE,29,28,5000,1,1
48,25,495,Link 495,LinkE,30,29,5000,1,1
48,25,498,Link 498,LinkE,33,32,5000,1,1
48,25,499,Link 499,LinkE,34,33,5000,1,1
48,25,502,Link 502,LinkE,37,36,5000,1,1
48,25,503,Link 503,LinkE,38,37,5000,1,1
48,25,520,Link 520,LinkE,57,56,5000,1,1
48,25,521,Link 521,LinkE,58,57,5000,1,1
48,25,524,Link 524,LinkE,61,60,5000,1,1
48,25,525,Link 525,LinkE,62,61,5000,1,1
48,25,542,Link 542,LinkE,81,80,5000,1,1
48,25,543,Link 543,LinkE,82,81,5000,1,1
48,25,546,Link 546,LinkE,85,84,5000,1,1
48,25,547,Link 547,LinkE,86,85,5000,1,1
48,25,550,Link 550,LinkE,89,88,5000,1,1
48,25,551,Link 551,LinkE,90,89,5000,1,1
48,25,568,Link 568,LinkE,109,108,5000,1,1
48,25,569,Link 569,LinkE,110,109,5000,1,1
48,25,572,Link 572,LinkE,113,112,5000,1,1
48,25,573,Link 573,LinkE,114,113,5000,1,1
48,25,590,Link 590,LinkE,133,132,5000,1,1
48,25,591,Link 591,LinkE,134,133,5000,1,1
48,25,594,Link 594,LinkE,137,136,5000,1,1
48,25,595,Link 595,LinkE,138,137,5000,1,1
48,25,598,Link 598,LinkE,141,140,5000,1,1
48,25,599,Link 599,LinkE,142,141,5000,1,1
